Brand,Name,Price,Link,Image
CK PERFORMANCE ,Áo Thun Thể Thao Nữ,749.500,https://www.acfc.com.vn/ck-performance-ao-thun-the-thao-nu-ck-4ws1k140-100.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/4/w/4ws1k140-100-1_jcnvwxooq0vflsez.jpg
BANANA REPUBLIC ,Chân Váy Nữ,2.350.000,https://www.acfc.com.vn/banana-republic-chan-vay-nu-br-860290-01.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/c/n/cn28895008_s4sybv4bdwosmsvp.jpg
OVS ,Áo Chui Đầu Nữ,299.000,https://www.acfc.com.vn/ovs-ao-chui-dau-nu-ovs-895995-895995.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/1/1/11474760_2u3cof7aodonqflw.jpg
TOMMY JEANS ,Áo Thun Nữ Tay Ngắn TJW Baby Crop RIB Center Badge,1.199.000,https://www.acfc.com.vn/tommy-jeans-ao-thun-nu-tay-ngan-tjw-baby-crop-rib-center-badge-tj-dw0dw12604-c87.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/d/w/dw0dw12604_c87_main__main__fsx2u4kdoiofmram.jpg
OLD NAVY ,Áo Thun Nữ,445.000,https://www.acfc.com.vn/old-navy-ao-thun-nu-oln-658586-05.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/c/n/cn20255120_4e27adycz0wfy9ig.jpg
CK UNDERWEAR ,Áo Ngực Nữ Triangle Fit,1.629.000,https://www.acfc.com.vn/ck-underwear-ao-nguc-nu-triangle-fit-ck-qf6758-bo8.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/q/f/qf6758-bo8-1_2.jpg
COTTON ON ,Đầm Mini Nữ-Rib Racer Mini Dress,529.000,https://www.acfc.com.vn/cotton-on-dam-mini-nu-rib-racer-mini-dress-coc-2054224-01.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/2/0/2054224-01-2_emhh1elzlx9ijmuv.jpg
CK PERFORMANCE ,Quần Short Thể Thao  Nữ Regular Fit,1.399.000,https://www.acfc.com.vn/ck-performance-quan-short-the-thao-nu-regular-fit-ck-4ws2s815-001.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/4/w/4ws2s815-001-item-2_ocjrzgoqmwcustpy_2.jpg
CK JEANS ,Đầm Nữ Mini Fit,2.749.000,https://www.acfc.com.vn/ck-jeans-dam-nu-mini-fit-ck-j219195-beh.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/j/2/j219195-beh-item-2_ynzr4gphnkcnncsr_1.jpg
TOMMY HILFIGER ,Đầm Nữ TH Cool Reg Hilfiger  Dress SS,3.599.000,https://www.acfc.com.vn/tommy-hilfiger-dam-nu-th-cool-reg-hilfiger-dress-ss-tommy-ww0ww28189-dw5.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/w/w/ww0ww28189_dw5_main__main__qs9vpejzk1wrazti.jpg
CK UNDERWEAR ,Quần Lót Nữ Bikini Fit,510.300,https://www.acfc.com.vn/ck-underwear-quan-lot-nu-bikini-fit-ck-qf5746ad-v4f.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/q/f/qf5746ad-v4f-1_2.jpg
COTTON ON ,Áo Nữ - Partners In Pointelle Crop Cardi,629.000,https://www.acfc.com.vn/cotton-on-ao-hai-day-nu-partners-in-pointelle-crop-cardi-coc-2051491-06.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/2/0/2051491-06-2_wbqjzy9yshmxnd2l.jpg
LEVI'S ,Quần Jeans Nữ Dài 711,799.000,https://www.acfc.com.vn/levi-s-quan-jeans-nu-dai-711-levis-18881-0012.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/5/1/51e3fad9efff334da8e141d9dac46abc_0048_18881-0012.jpg
PARFOIS ,Áo Len Garden,1.590.000,https://www.acfc.com.vn/parfois-ao-len-garden-parfoi-194107-bmu-bm.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/1/9/194107_bm_1y_e7tiqsfetpezszeh.jpg
CK JEANS ,Áo Thun Nữ Straight Fit,1.349.000,https://www.acfc.com.vn/ck-jeans-ao-thun-nu-straight-fit-ck-j218885-beh.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/j/2/j218885-beh-item-2_8qq3bp8r880tizhr_1.jpg
MANGO ,Áo Len Noisette,999.000,https://www.acfc.com.vn/mango-ao-len-noisette-mango-27011153-68.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/2/7/27011153_68_xnqkl8cn7z6teoot.jpg
MANGO ,Áo Thun Marian,499.000,https://www.acfc.com.vn/mango-ao-thun-marian-mango-17007764-52.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/1/7/17007764_52_i2y33kq6az97hbmc_1.jpg
FRENCH CONNECTION ,Đầm Nữ Viven Panelled Jersey L/s Drs,2.099.000,https://www.acfc.com.vn/french-connection-dam-nu-viven-panelled-jersey-l-s-drs-fcuk-71tfx-01.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/7/1/71tfx-01-1_8vcv5ycfgrlrzeuy.jpg
OVS ,Áo Kiểu Nữ,599.000,https://www.acfc.com.vn/ovs-ao-kieu-nu-ovs-1418785-1418785.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/1/1/11979268_bvjgsk7m7ieo1heo.jpg
TOMMY HILFIGER ,Đầm Polo Nữ Slim Fit,2.899.000,https://www.acfc.com.vn/tommy-sportwear-dam-polo-nu-slim-fit-tommy-ww0ww27949-bds.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/w/w/ww0ww27949_bds_main_2.jpg
OLD NAVY ,Áo Thun Nữ,495.000,https://www.acfc.com.vn/old-navy-ao-thun-nu-oln-720699-05.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/c/n/cn27758862_oxlw55iedr26nrga.jpg
BANANA REPUBLIC ,Đầm Nữ Ss Mariner Ind,3.550.000,https://www.acfc.com.vn/banana-republic-dam-nu-ss-mariner-ind-br-860327-00.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/8/6/860327-00-1_2.jpg
PARFOIS ,Áo Len Cheetah 2,1.590.000,https://www.acfc.com.vn/parfois-ao-len-cheetah-2-parfoi-182730-gyu-gy.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/1/8/182730_gy_4y_1.jpg
GAP ,Quần Jeans Dài Nữ - High Rise Jegging,1.399.000,https://www.acfc.com.vn/quan-jeans-dai-nu-high-rise-jegging-gap-619230-00.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/p/i/pic_003_12_2.jpg
MANGO ,Quần Dài Cloud,899.000,https://www.acfc.com.vn/mango-quan-dai-cloud-mango-27092519-70.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/2/7/27092519_70_rdzagaatdeio4adi_3.jpg
LEVI'S ,Quần Jeans Nữ Dài,1.599.000,https://www.acfc.com.vn/levi-s-quan-jeans-nu-dai--levis-38658-0003.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/3/8/38658-0003-modelfront_2_2.jpg
FRENCH CONNECTION ,Áo Thun Nữ Pari Ribbed Jersey Top,1.199.000,https://www.acfc.com.vn/french-connection-ao-thun-nu-pari-ribbed-jersey-top-fcuk-76saz-20.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/7/6/76saz-20-1_quxgdpnzqpxynpn4.jpg
